LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Rzędna zera wodowskazu;Kilometr biegu rzeki
1;149180010;Krzyżanowice;Odra (1);1927;49 59 37;18 17 14;184.806;713.04
2;149180020;Chałupki;Odra (1);1891;49 55 19;18 19 40;192.727;725.83
3;149180030;Łaziska;Olza (114);2006;49 55 28;18 26 35;199.352;9.3
4;149180040;Gołkowice;Szotkówka (1148);1962;49 55 33;18 29 47;207.436;3.83
5;149180050;Zebrzydowice;Piotrówka (1146);1961;49 52 48;18 36 48;224.881;18.53
6;149180060;Cieszyn;Olza (114);1895;49 44 45;18 37 47;266.239;37.4
7;149180070;Cieszyn;Młynówka (11448);1963;49 44 46;18 37 53;271.389;1.36
8;149180080;DROGOMYŚL;Wisła (2);2006;49 53 09;18 44 58;253.594;974.6
9;149180090;MIZERÓW-BORKI;Pszczynka (2116);;49 59 56;18 46 07;250.515;32.78
10;149180100;SKOCZÓW;Wisła (2);1895;49 48 12;18 47 30;285.829;986.28
11;149180110;Ustroń-Obłaziec;Wisła (2);1904;49 40 50;18 51 01;398.862;1001.69
12;149180120;Górki Wielkie;Brennica (21114);1946;49 46 21;18 51 08;324.085;3.13
13;149180130;Istebna;Olza (114);1959;49 34 19;18 53 34;534.009;80.27
14;149180140;Wisła;Wisła (2);1904;49 37 55;18 54 03;470.717;1009.56
15;149180160;Wisła-Czarne;Wisła (2);2005;49 37 08;18 55 07;510.378;1011.74
16;149180180;Wisła-Czarne (Biała Wisełka);Biała Wisełka (2111152);2005;49 37 05;18 56 08;551.577;0.0
17;149180200;Wisła-Czarne (Czarna Wisełka);Wisła (2);2005;49 36 27;18 55 34;553.378;1013.39
18;149180210;Zabrzeg;Wisła (2);2006;49 55 31;18 56 07;241.824;956.99
19;149180220;Pszczyna;Pszczynka (2116);1958;49 58 45;18 56 45;240.22;17.4
20;149180230;Podkępie;Wapienica (21128);1930;49 53 44;18 58 39;243.544;2.1
21;149180240;Goczałkowice;Wisła (2);1901;49 55 54;18 59 09;238.518;952.41
22;149180250;CZECHOWICE-DZIEDZICE;Iłownica (2112);1895;49 54 49;18 59 11;240.733;1.44
23;149180300;Olza;Odra (1);2003;49 57 17;18 19 34;186.162;718.19
24;149190010;CZECHOWICE-BESTWINA;Biała (2114);1956;49 53 29;19 01 49;258.853;6.9
25;149190020;KAMESZNICA;Bystra (213232);1910;49 34 05;19 04 11;452.532;1.24
26;149190030;MIKUSZOWICE;Biała (2114);1927;49 46 46;19 04 27;360.987;21.38
27;149190040;UJSOŁY;Woda Ujsolska (21322);1942;49 29 34;19 07 02;520.172;2.63
28;149190050;RAJCZA;Soła (2132);1949;49 30 50;19 06 59;482.106;76.36
29;149190060;JAWISZOWICE;Wisła (2);1887;49 58 21;19 07 19;231.591;939.12
30;149190070;ŁODYGOWICE;Żylica (213274);1945;49 43 38;19 08 10;367.719;3.02
31;149190080;CIĘCINA;Soła (2132);1900;49 37 29;19 08 56;383.276;59.65
32;149190090;ŻABNICA;Żabniczanka (213234);1925;49 33 53;19 10 49;565.0;7.62
33;149190100;Żywiec;Soła (2132);1887;49 41 11;19 11 35;342.122;50.61
34;149190120;CZANIEC-KOBIERNICE;Soła (2132);2005;49 50 54;19 13 40;281.664;29.95
35;149190140;ŁĘKAWICA;Łękawka (213278);1962;49 42 42;19 15 44;358.519;2.74
36;149190150;PEWEL MAŁA;Koszarawa (21324);1962;49 39 31;19 18 20;405.239;9.84
